"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","conventional.dendritic.cell","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"PHLPP1",0,0.0094399366371777,0,0.0147162090648304,0.00765513350404885,0.0470633959770203,0.0711312555395488,0.00628948294322614
"ATP8B1",0.128083237734708,0.0848968791050739,0.144509223791269,0.0528881224718961,0.0432252159251414,0.167616527080536,0.126569713072919,0.0486303578045746
"IL12RB2",0.321916887976907,0.143047335566535,0,0.086113301190463,0,0.0142416226863861,0.0416941979398759,0.0298540598392555
"SMARCD3",0.0139939969236201,0.0306994934278232,0,0.0709988420659846,0.526582650546408,0.0534915363788605,0.335828348251672,0.0380264767742253
"WDR70",0.226774636181918,0.210913152925938,0.312404485849234,0.622100682692094,0.235731956023904,0.37851001560688,0.554627164257721,0.198436571772381
"FYB1",2.06678527593613,1.76569011787734,1.21191174250383,0.910367862744765,2.93701693740632,1.24581731498241,2.26086547960871,2.43254572076465
"STRADB",0.232899524948814,0.114072777259709,0.947693247061509,0.686074771664359,0.114679363100269,0.133687232732773,0.377565370049588,0.157620773707341
"BZW1",1.5113147540526,1.65183803266151,1.41214285447047,1.63007406971671,1.26027653637729,1.13476713716984,1.6180939840716,0.976399001334076
"C1QTNF3",0,0.00872719401738645,0,0.0176805929704146,0,0,0,0.0121024354386154
"ME2",0.698739976232702,0.512153035660687,1.27721523321592,0.844552014090798,0.737800393469649,0.79768513917923,1.09923456356771,0.349072688217885
"C5orf22",0.0520060560920022,0.0675939287358045,0,0.196485600688241,0.0853381253727074,0.129002624154091,0.107741674315494,0.0614161367242811
"CCNT2",0.156570048765703,0.19168751753051,0.294846947376545,0.152640075033361,0.242213387500382,0.305442345738411,0.284683999033069,0.153193311644448
"FAM135A",0.0359698263081637,0.0301135947474831,0.429037763522222,0.0777785041115501,0.0798149438026056,0.0278375506401062,0.223332727470271,0.0347609489996895
"COL19A1",0,0,0,0,0,0.0279458999633789,0,0.000412908985524203
"EPB41L3",0,0,0,0.0338072430003773,0.359332320308464,0.0313618552684784,0.406015202848618,0.0085185921021698
"COBLL1",0.019431285424666,0,0,0.0711920510638844,0,0.75845458984375,0.00663897484243906,0.00128694330011853
"DLG3",0.0139094699512828,0.0383407932970999,0,0.0239731333472512,0,0.02561428129673,0.0146175943735826,0.0175723969101234
"TRAF5",0.476086302237077,0.313991849164942,0.160187005996704,0.282096175713973,0.0584019768265726,0.127110775113106,0.198960583471381,0.254413355968943
"MRPL22",0.504433709924871,0.442832451546394,1.35286114766048,0.983646218343215,0.42475525754787,0.663347588181496,0.878467661201756,0.409138846204544
"GEMIN5",0.0144086198373274,0.0417017104606432,0,0.200958491455425,0.0328550817241801,0.123087073564529,0.0570102941950294,0.0400037970240537
"OPRK1",0,0,0,0,0.00650356319277027,0.0152092981338501,0,0.000402138685363919
"NFE2L1",0.0263486862182617,0.164064483201127,0.703876559550946,0.290733206272125,0.211041405140109,0.27012876868248,0.260034458581791,0.123270560581698
"SEMA5B",0,0,0,0,0,0,0,0.000461623449296633
"GSK3B",0.35737593499097,0.313522407362165,0.294846947376545,0.289605254476721,0.327210620909998,0.274054198265076,0.373327099207628,0.186677622894977
"ITGB5",0,0,0,0,0.00341415322297134,0,0.0150503031043119,0.00273271142859585
"ERC1",0.0963888612660495,0.0808753425982137,0.612901623432453,0.281940091740001,0.073588847837426,0.150715793371201,0.176214235961635,0.0928627114996441
"XPO1",0.523943103443493,0.529098583791818,0.598383004848774,0.827164984833111,0.522142289132917,0.763519707322121,0.874914423967913,0.427962336635962
"RNF13",0.285020227865739,0.466735486157408,0.765422472586999,0.704577628048983,1.11811890319992,0.948920310139656,1.15621232471593,0.369545983679288
"TRPM3",0,0,0,0.0157679026777094,0,0,0.00671462838435886,0.00275854373553335
"PALB2",0.0395856272090565,0.035093039646471,0,0.063599157333374,0.0364530587141033,0.0363140887022018,0.0401835299013461,0.0276404283612549
"DOPEY1",0.0843069304119457,0.0530685308135493,0.156137264691866,0.103165536577051,0.0687259006942784,0.120239033699036,0.138421059842918,0.049243534901024
"LYRM2",0.225508997657082,0.353599192376175,0.516814506970919,0.804182830723849,0.35241947359386,0.334433965682983,0.482280046836878,0.332070030126719
"BCKDHB",0.160272641615434,0.150637933561506,0,0.445654898340052,0.072764565800846,0.151237496733665,0.18834756695947,0.143911280195337
