"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"BAD",0.389308740740404,0.44234596285189,0.312780149600654,0.364360032077294,0.276691185800653,0.159902329412883
"LAP3",0.41393208918521,0.333413201460687,0.190308647057445,0.195860178724187,0.119635993555972,0.139788005176007
"HS3ST1",0.0186364294841803,0.0127283410610665,0.0119796741987964,0.00982390738783489,0,0
"WNT16",0,0,0,0.00109228982951275,0,0
"MAD1L1",0.207703399165255,0.200836660574429,0.228471847717493,0.128851962685765,0.159478579069439,0.0986882248180825
"LASP1",0.388811368504619,0.452962762197258,0.333866255522012,0.462221551279089,0.286261784402948,0.162784851637463
"SNX11",0.187128664626056,0.132277970787269,0.0874758033130825,0.0694841523959214,0.0256986392171759,0.080816644950201
"TMEM176A",0.00162041674222961,0.00104074581983301,0.00286772118718433,0.004799907269985,0,0
"M6PR",0.549397306855856,0.626772447247401,0.417552775943402,0.382697390015853,0.28724079383047,0.3264883492617
"KLHL13",0,0.00642150540647395,0.0037476719912398,0.00391853369298776,0,0
"ICA1",0.0271722797907427,0.0132700555288612,0.0303620081388716,0.00821206734172549,0.040613119225753,0
"DBNDD1",0.00301146940095702,0.00154318402160951,0.00387109392379898,0.000999287978537509,0,0.0301858786768561
"ALS2",0.0284962508032794,0.0480045369721737,0.0231101444721381,0.0323986047432702,0,0.0255530600579793
"CASP10",0.0679257988508939,0.0276718462132529,0.064695330525618,0.0326563279719983,0.0446232093007941,0.0517483957661878
"CFLAR",1.46675900437888,1.47539330716908,0.815748040446975,0.941507676453,0.904686335513466,1.14567328779489
"TFPI",0.0122301231053401,0.00863646163013912,0.00490426256048509,0.00673318225312355,0.0527665238631399,0.0273665517768604
"NDUFAF7",0.096610421251902,0.118428540489382,0.114912509601061,0.138432116205342,0,0
"RBM5",0.498294878715346,0.519260909788972,0.424253468264525,0.447275323227034,0.270988328833329,0.434930034931874
"MTMR7",0,0.00187580609441403,0,0,0,0
"SLC7A2",0,0.00115938582013001,0,0.00238849197966968,0,0
"ARF5",0.178235382367671,0.202821300806512,0.119862345551826,0.140003022891852,0.166863968497828,0
"SARM1",0.0726575303185906,0.0478560187209591,0.0346367034874051,0.035401660083611,0,0
"POLDIP2",0.598508683527832,0.542250204875042,0.232170377651401,0.26175019402718,0.188645794517116,0.185385665637535
"PLXND1",0.00627769861206886,0.0321527335611819,0.0561382747544852,0.0683791054843168,0,0
"AK2",0.729564981633704,0.591358290844826,0.232328153822087,0.234156444511632,0.232851051029406,0.264135103097698
"CD38",0.116193539676676,0.0492758636598411,0.00692393052685011,0.00166696595585321,0,0
"FKBP4",0.825623784832322,0.555411404301373,0.248798912610966,0.191980621117215,0.368740254954288,0.0823345872379789
"KDM1A",0.226567254003947,0.185383178830346,0.122380484684702,0.148130163940977,0.125009923232229,0.0601442964285012
"RBM6",0.603571407974097,0.63118042738194,0.576221238666886,0.541847647295978,0.631525546626041,0.647932799870536
"CAMKK1",0.0167016782847187,0.0119136587858599,0.0232219320220491,0.00688445147853115,0,0
"RECQL",0.337039739810272,0.475083286388835,0.360313837180155,0.435829000970117,0.164391848915502,0.280257775479515
"VPS50",0.0505930529780539,0.0822586976303727,0.05898638845164,0.0590169375903206,0.0379317208340293,0.0836842684137741
"ARHGAP33",0.0123050646293782,0.0172906772575187,0.0109325510582577,0.0193762604678097,0,0
"NDUFAB1",1.74944397529087,1.70699748861131,0.756677103787908,0.859212616546645,1.14195279573139,0.565590072798249
"PDK4",0.00350969425668875,0.00124517357728789,0,0,0,0
