"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell"
"MELTF",0.00470337376300345,0.0138161334148823,0.00183788220278009,0.00394625862211888
"S100P",0.0162472204721857,0.00927507622953391,0.00993459126005587,0.0132041322497659
"ABLIM2",0.00613552506120787,0.00779658388618404,0.00442145195392318,0.00373583934196947
"EXO5",0.055014347429159,0.0740915935434951,0.0225168880925291,0.0570764638122232
"CLDN19",0.000937916311945634,0,0,0.000817974453984712
"C1orf50",0.0460891427959857,0.0571769298751985,0.0327847728654207,0.0541549080334897
"ERMAP",0.00842905350551366,0.0142506444021273,0.0103232752897541,0.0141319733350593
"ZNF691",0.0614012590382961,0.0719561301470249,0.0744882197645972,0.062026753230785
"AIMP1",1.04795482323825,0.963666588123797,0.748870143978473,0.694511272744306
"SGMS2",0.000511869168344229,0.000940217100605452,0,0.00128627897628895
"METAP1",0.312695997399489,0.264344107877088,0.194653430949161,0.221773358327189
"DNAJB14",0.311581579190383,0.41730529348844,0.325523380216898,0.397260775953907
"H2AFZ",2.5337480128558,2.5917455446671,1.74072509047678,1.98383344726373
"SLC9B1",0.0180219674711344,0.0108076882960421,0.0208501686920991,0.0167287308189331
"SLC9B2",0.14816565061622,0.136491959347612,0.0637231484040225,0.0809136043299514
"BDH2",0.0839097149058363,0.0818538430120025,0.104582721837122,0.124652881848079
"PGRMC2",0.473513041487134,0.473604130593189,0.385402353789518,0.342862971596428
"CDC25A",0.00387487377212758,0.00240358829676815,0.000515659663761229,0
"ZNF589",0.0643055906652649,0.0624024107946255,0.0475633004900123,0.044858825985099
"PLXNB1",0.00147738514975858,0.0026100884212264,0.00105325522342855,0.00247845453085359
"CCDC51",0.09903317652107,0.106531653632746,0.0512547364106049,0.0684670431097758
"ATRIP",0.00296018233121557,0.00384332548139337,0.0010802857565056,0.00265288535034716
"SHISA5",0.47014169116394,0.660515413709188,0.66152104098137,0.975627550053751
"SPRY1",0.126697736507556,0.108629209367759,0.0460968453550518,0.0502786000933798
"BSN",0,0,0.000572497698692194,0.00138342057352259
"APEH",0.256463201591252,0.278016400935274,0.214448191921392,0.231303835880124
"INTU",0.00128732244474766,0.000783584574017798,0.00442385518546794,0.00574063107729777
"RNF123",0.0523041213002993,0.0555520817743442,0.0422194483261422,0.0440860128712226
"HSPA4L",0.00766145720333667,0.00919181994399253,0.0157976337299745,0.0101610618313108
"MFSD8",0.137810150124807,0.163066091987356,0.1889813020545,0.203705520109167
"ABHD18",0.146525591791589,0.158158100039626,0.163154457025727,0.132104528455527
"CAMKV",0.000406149717761244,0,0,0
"MON1A",0.086884524292457,0.0877499676786171,0.0462638166233811,0.041997170075063
"MST1R",0.000476212853236602,0,0,0
"RAD54L2",0.134020988993175,0.162084102943032,0.0843448901151983,0.1112346151668
"TEX264",0.417096022293559,0.457030844438482,0.431633634555841,0.499909877868134
"GRM2",0.000451467607532676,0,0.00110713492669841,0.00146869558922067
"DUSP7",0.0634200810575035,0.0638833501195247,0.0848649087280106,0.0752579109866276
"POC1A",0.0138393196271416,0.0151773180599205,0.00613871299359964,0.00684986705313934
"PPM1M",0.574382580928499,0.407089378493683,0.290748045332743,0.291185038833502
"ETNPPL",0.000292819379856953,0,0,0
"WDR82",0.600101198297722,0.578925857468965,0.603538535532787,0.61640832446012
"C4orf3",3.04221263299756,3.10506528310229,2.68798441724585,2.57062987099626
"PRSS12",0.00082033067983141,0.0010774957691851,0,0
"HMGB2",0.840915059276502,0.787962745120578,0.987972214170567,1.03327573237869
"SAP30",0.150091916861887,0.255174052755469,0.0674176160660338,0.11871833781242
"SCRG1",0.0152856455126483,0.0188423894577283,0.0144553738752947,0.0327128327134093
"MAD2L1",0.164468023237645,0.137889009296827,0.144237628017351,0.127632120539551
"ANXA5",0.26187157496356,0.302899545964477,0.18176288797233,0.299633924903739
"TMEM155",0.00048224826822772,0.00305207085404134,0,0.00126735423984943
"MAP9",0.0672527230908518,0.0857692241936487,0.061934908897225,0.0760596574103846
"GUCY1A3",0,0,0.000542982571589143,0
"FBXO8",0.158101604400323,0.160489905822237,0.139088198496714,0.139715183869078
"CEP44",0.0515899366954204,0.062895459969898,0.0810938048680841,0.0781536178763653
"HPGD",0.0253144848083111,0.0230942618217597,0.0416362362286427,0.0346535741486318
"C4orf45",0.000352313644977816,0,0,0
"TMEM144",0.000449329471779843,0.00109885195050513,0.000558724927037618,0
"NAA15",0.509727579429895,0.549357569115031,0.293394354406873,0.295680869576948
"IL15",0.0852314853329037,0.0977508051035691,0.0617677684194047,0.10191865712006
"FAM160A1",0.00337633279959975,0,0.00102085692809944,0.000885467485600457
"ARFIP1",0.0710181242460738,0.116577043822534,0.036581485229855,0.079137509449059
"ICE1",0.25843425950625,0.315633994102121,0.150462089765981,0.198292340973763
"ANAPC10",0.327635574270773,0.342221814119517,0.175338646788896,0.202280922899177
"ABCE1",0.739490449216573,0.737432124595971,0.392838302965324,0.364857236680842
"OTUD4",0.344938748749585,0.379821368568803,0.141758318270391,0.188212949067138
"LSM6",1.47646618737344,1.56340617296268,0.923591278368506,1.06082713553905
"TMEM184C",0.0763970182873614,0.0973147813946243,0.0502265926668426,0.0530176031630473
"PRMT9",0.139948658805294,0.116180163784805,0.150593960852073,0.181746979531736
"ITGA2",0.00495287323912347,0.00241042888374286,0.00413470752753911,0.00240596868282695
"MOCS2",0.267607054331396,0.250699311059675,0.22464058218123,0.197354623587726
"EDIL3",0.00023558797138781,0,0,0
"TMEM161B",0.0976932542630431,0.116922543183644,0.0921006522438031,0.10849735713178
"ELOVL7",0.000487388258686718,0.000922200296845431,0,0
"NDUFAF2",0.557867667710779,0.59333757522266,0.251139817154656,0.280565345910907
"LMBRD2",0.0518907829324189,0.0560775419961464,0.0555818701622382,0.0657265572294838
"NIPBL",0.335163047827247,0.399329816032018,0.356660170747611,0.427391845336075
"ADGRV1",0.00141796288579513,0.000998153350898631,0.00218453213159572,0.00249001405402056
