"","Keratinocytes","Clara.cells","Epithelial","Airway.Multiciliated.Cells","Brush.cells","Undefined"
"Uchl3",0.422846334,0.28675493,0.294636252,0.21612529,0.472211982,0.577698413
"Lmo7",0.435074354,0.788039437,0.453489519,0.655429234,0.74235023,0.362380952
"Kctd12",0.251821028,0.125205634,0.181516646,0.060046404,0.866313364,0.221190476
"Cln5",0.212248891,0.106946479,0.110431566,0.120487239,0.253456221,0.172063492
"Fbxl3",0.180952257,0.15348169,0.097891492,0.282018561,0.302165899,0.211269841
"Mycbp2",0.248703366,0.203740845,0.146880395,0.117006961,0.508248848,0.231666667
"Scel",0.076063136,0.089138028,0.02702836,0.001554524,0,0.093968254
"Slain1",0.077790243,0.048321127,0.057040691,0.060464037,0.18797235,0.054206349
"Rnf219",0.033921211,0.023205634,0.021812577,0.018770302,0.022119816,0.048730159
"Rbm26",0.067568484,0.078901408,0.025043157,0.042761021,0.13235023,0.073015873
"Ndfip2",0.702374119,0.453639437,0.327644883,0.558236659,0.763870968,0.839126984
"Gm10076",0.103764675,0.075797183,0.062577065,0.121090487,0.103317972,0.076904762
"Spry2",0.021836681,0.016816901,0.018039457,0.022366589,0.008202765,0.033571429
"Slitrk6",0.032893295,0.030101408,0.020394575,0.080510441,0.418617512,0.017222222
"Tpm3-rs7",0.026091834,0.017639437,0.026091245,0.038167053,0.038202765,0.028492063
"Mir17hg",0.008606835,0.003909859,0.003575832,0.002529002,0,0.022936508
"Gpc6",0.004860423,0.006450704,0,0.002761021,0.041889401,0.037539683
"Tgds",0.216574485,0.124749296,0.126374846,0.120928074,0.136958525,0.22047619
"Gpr180",0.202290634,0.180670423,0.259580764,0.277470998,0.193963134,0.161507937
"Sox21",0.45946778,0.325802817,0.305326757,0.174176334,0.12483871,0.435952381
"Abcc4",0.108392904,0.202259155,0.289765721,0.066241299,0.10843318,0.067857143
"Cldn10",0.371860162,0.686732394,0.956140567,0.12262181,0.611474654,0.309444444
"Dzip1",0.012619358,0.005414085,0.012416769,0.180742459,0.035806452,0.01984127
"Dnajc3",0.593065484,0.596185915,0.722392109,1.085707657,0.868617512,0.801349206
"Mbnl2",0.779827811,0.351171831,0.389260173,0.661484919,0.483963134,0.798492063
"Rap2a",0.069877381,0.063583099,0.058039457,0.061531323,0.099861751,0.071031746
"Ipo5",0.089553874,0.079859155,0.102194821,0.129814385,0.134516129,0.157857143
"Farp1",0.079436473,0.084749296,0.089617756,0.047958237,0.225023041,0.082142857
"Stk24",0.272684581,0.129256338,0.10487053,0.099257541,0.241198157,0.386746032
"Dock9",0.029261675,0.076952113,0.062453761,0.109559165,0.054331797,0.009761905
"1810041H14Rik",0.010208714,0.009492958,0.00432799,0.100788863,0.0059447,0.010952381
"Ubac2",0.312071484,0.215509859,0.208249075,0.56812065,0.377281106,0.366587302
"Tm9sf2",0.422658492,0.284349296,0.301097411,0.335916473,0.357511521,0.491587302
"Clybl",0.18721628,0.21,0.210406905,0.198468677,0.200368664,0.192460317
"Pcca",0.249204279,0.1716,0.183933416,0.149512761,0.177788018,0.179761905
"Ggact",0.070044352,0.047752113,0.036350185,0.05187935,0.212534562,0.115396825
"Tmtc4",0.053477694,0.036816901,0.033205919,0.030904872,0.142165899,0.062539683
"Alkbh8",0.035390034,0.02195493,0.016572133,0.037285383,0.04921659,0.081111111
"Cwf19l2",0.042911558,0.034912676,0.019963009,0.02863109,0.089262673,0.048253968
"Aasdhppt",0.347508479,0.190304225,0.205585697,0.290858469,0.254193548,0.291111111
"Kbtbd3",0.043746413,0.059825352,0.031565968,0.079303944,0.13359447,0.058650794
"Msantd4",0.122629794,0.072450704,0.061923551,0.115197216,0.140046083,0.21468254
"Casp4",0.318541612,0.177769014,0.157879162,0.082088167,0.124654378,0.319206349
"Casp12",0.12319593,0.067543662,0.039371147,0.011345708,0.024516129,0.130873016
"Dync2h1",0.034839551,0.03691831,0.042688039,0.599257541,0.056820276,0.017619048
"Dcun1d5",0.772632403,0.523476056,0.503995068,0.525661253,0.727511521,1.078174603
"Tmem123",0.420099139,0.220377465,0.255745993,0.467331787,0.397926267,0.571507937
"Birc2",0.110099139,0.076084507,0.091257707,0.134547564,0.177695853,0.188968254
"Birc3",0.043816854,0.056788732,0.038557337,0.064663573,0.018341014,0.028968254
"Yap1",0.19072528,0.161329577,0.144377312,0.189953596,0.104331797,0.225793651
"Cep126",0.011153144,0.016174648,0.013205919,0.351322506,0.147419355,0.036428571
"Arhgap42",0.03329246,0.034383099,0.008224414,0.021577726,0,0.008968254
"Jrkl",0.048867728,0.026608451,0.027484587,0.029443155,0.073824885,0.086269841
"Ccdc82",0.018828594,0.011814085,0.011331689,0.004176334,0.062626728,0.021031746
"Maml2",0.064489956,0.051712676,0.044032059,0.079234339,0.038894009,0.043571429
"Mtmr2",0.052546308,0.05371831,0.024944513,0.072969838,0.125299539,0.056904762
